交通量推定不能区間,都道府県,道路種別,沿道状況,延長（ｋｍ）,１２時間平均交通量（台／１２ｈ）／小型車,１２時間平均交通量（台／１２ｈ）／大型車,１２時間平均交通量（台／１２ｈ）／合計,１２時間走行台キロ（千台キロ）／小型車,１２時間走行台キロ（千台キロ）／大型車,１２時間走行台キロ（千台キロ）／合計,２４時間平均交通量（台／日）／小型車,２４時間平均交通量（台／日）／大型車,２４時間平均交通量（台／日）／合計,２４時間走行台キロ（千台キロ）／小型車,２４時間走行台キロ（千台キロ）／大型車,２４時間走行台キロ（千台キロ）／合計,昼夜率,１２時間ピーク比率（％）,１２時間大型車混入率（％）,混雑度
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,主要地方道計,DID(商業地域),38.7,9515,744,10259,368,29,397,12205,1341,13545,472,52,524,1.32,9.8,7.3,0.79
,,,DID(商業地域を除く),95.3,9172,561,9734,874,54,928,11478,991,12468,1094,94,1188,1.28,10.4,5.8,0.85
,,,その他市街部,110.4,7074,664,7738,781,73,854,8858,994,9852,978,110,1088,1.27,11.6,8.6,0.75
,,,平地部,482.3,5864,659,6523,2828,318,3146,7373,997,8370,3556,481,4037,1.28,11.7,10.1,0.72
,,,山地部,708.2,1693,154,1847,1199,109,1308,2054,226,2280,1455,160,1615,1.23,12.1,8.3,0.35
,,,合計,1434.9,4217,406,4623,6050,583,6633,5265,625,5890,7555,896,8451,1.27,11.5,8.8,0.61
,,一般都道府県道,DID(商業地域),101.5,9852,727,10579,1000,74,1074,12547,1376,13922,1273,140,1413,1.32,10.3,6.9,0.88
,,,DID(商業地域を除く),145,8841,666,9507,1282,97,1379,11160,1097,12257,1618,159,1777,1.29,10.4,7,0.99
,,,その他市街部,229.4,6268,518,6786,1438,119,1557,7829,856,8685,1796,196,1992,1.28,11.4,7.6,0.79
,,,平地部,685.8,4023,414,4437,2759,284,3043,4962,626,5589,3403,430,3833,1.26,12.9,9.3,0.56
,,,山地部,730.4,796,79,875,581,58,639,960,113,1073,701,83,783,1.23,13.6,9.1,0.24
,,,合計,1892.1,3731,333,4065,7060,631,7691,4647,532,5179,8792,1007,9799,1.27,11.8,8.2,0.6
,,地方道計,DID(商業地域),140.2,9759,732,10491,1368,103,1471,12452,1366,13818,1746,192,1937,1.32,10.2,7,0.86
,,,DID(商業地域を除く),240.3,8972,624,9597,2156,150,2306,11286,1055,12341,2712,254,2965,1.29,10.4,6.5,0.93
,,,その他市街部,339.8,6530,566,7095,2219,192,2411,8163,901,9064,2774,306,3080,1.28,11.4,8,0.77
,,,平地部,1168.1,4783,515,5298,5587,602,6189,5958,779,6737,6959,910,7869,1.27,12.3,9.7,0.63
,,,山地部,1438.6,1237,116,1354,1780,167,1947,1498,168,1667,2156,242,2398,1.23,12.6,8.6,0.3
,,,合計,3327,3941,365,4305,13111,1214,14324,4913,572,5486,16347,1904,18250,1.27,11.7,8.5,0.61
,,一般道路計,DID(商業地域),211.8,11272,968,12240,2387,205,2592,14439,1704,16143,3058,361,3419,1.32,10,7.9,0.89
,,,DID(商業地域を除く),369.1,12775,1855,14630,4715,685,5400,16575,3074,19649,6118,1135,7253,1.34,10.4,12.7,1
,,,その他市街部,535.2,8640,1059,9699,4624,567,5191,11038,1716,12754,5907,918,6826,1.31,11.1,10.9,0.85
,,,平地部,1600.3,6411,1010,7420,10259,1616,11875,8169,1568,9737,13073,2509,15583,1.31,11.7,13.6,0.71
,,,山地部,1841.8,1810,245,2055,3333,451,3784,2237,377,2614,4120,694,4814,1.27,11.9,11.9,0.4
,,,合計,4558.2,5555,773,6328,25319,3523,28842,7081,1232,8313,32277,5617,37894,1.31,11.2,12.2,0.71
,,合計,DID(商業地域),211.8,11272,968,12240,2387,205,2592,14439,1704,16143,3058,361,3419,1.32,10,7.9,0.89
,,,DID(商業地域を除く),383.1,12842,2100,14942,4920,804,5724,16629,3507,20136,6370,1344,7714,1.35,10.3,14.1,0.93
,,,その他市街部,535.2,8640,1059,9699,4624,567,5191,11038,1716,12754,5907,918,6826,1.31,11.1,10.9,0.85
,,,平地部,1705.6,6836,1441,8276,11659,2457,14116,8689,2505,11194,14821,4272,19093,1.35,11.5,17.4,0.66
,,,山地部,2092,3153,1442,4595,6596,3017,9613,3998,3518,7515,8363,7359,15722,1.64,11.1,31.4,0.54
,,,合計,4927.7,6126,1431,7557,30186,7050,37236,7817,2893,10710,38519,14254,52774,1.42,11.1,18.9,0.68
,,指定市の一般市道,DID(商業地域),26.5,16124,970,17094,427,26,453,20934,2559,23493,555,68,623,1.37,9.9,5.7,0.77
,,,DID(商業地域を除く),56.5,11686,720,12406,660,41,701,14983,1540,16523,847,87,934,1.33,10.2,5.8,0.81
,,,その他市街部,12.9,10419,729,11147,134,9,144,13257,1401,14657,171,18,189,1.31,10.5,6.5,0.65
,,,平地部,7.9,10380,1000,11379,82,8,90,13421,1765,15186,106,14,120,1.33,13.9,8.8,0.79
,,,山地部,17.7,1289,122,1411,23,2,25,1498,160,1658,27,3,29,1.17,12,8.6,0.32
,,,合計,121.5,10920,707,11627,1327,86,1413,14032,1561,15593,1705,190,1895,1.34,10.4,6.1,0.76
,静岡県（静岡市、浜松市を除く）,高速自動車国道,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,51.7,13321,7018,20339,689,363,1052,16326,12592,28918,844,651,1495,1.42,10.9,34.5,0.48
,,,山地部,166,14797,11519,26316,2456,1912,4368,19239,29615,48854,3194,4916,8110,1.86,10.7,43.8,0.73
,,,合計,217.7,14446,10450,24896,3145,2275,5420,18547,25572,44119,4038,5567,9605,1.77,10.7,42,0.66
,,一般国道の自動車専用道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),2.1,10262,1200,11462,22,3,24,12838,1554,14392,27,3,30,1.26,10.2,10.5,0.72
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,20.8,18260,2266,20527,380,47,427,23262,2930,26193,484,61,545,1.28,11.1,11,0.93
,,,山地部,5.1,6937,624,7561,35,3,39,8455,834,9289,43,4,47,1.23,9.1,8.3,0.8
,,,合計,28,15598,1887,17485,437,53,490,19783,2445,22229,554,68,622,1.27,10.9,10.8,0.9
,,高規格幹線道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),2.1,10262,1200,11462,22,3,24,12838,1554,14392,27,3,30,1.26,10.2,10.5,0.72
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,72.5,14738,5654,20393,1069,410,1478,18316,9820,28136,1328,712,2040,1.38,11,27.7,0.56
,,,山地部,171.1,14563,11194,25757,2492,1915,4407,18917,28757,47675,3237,4920,8157,1.85,10.7,43.5,0.73
,,,合計,245.7,14578,9474,24052,3582,2328,5910,18688,22937,41625,4592,5636,10227,1.73,10.7,39.4,0.68
,,都市高速道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,高速道路計,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),2.1,10262,1200,11462,22,3,24,12838,1554,14392,27,3,30,1.26,10.2,10.5,0.72
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,72.5,14738,5654,20393,1069,410,1478,18316,9820,28136,1328,712,2040,1.38,11,27.7,0.56
,,,山地部,171.1,14563,11194,25757,2492,1915,4407,18917,28757,47675,3237,4920,8157,1.85,10.7,43.5,0.73
,,,合計,245.7,14578,9474,24052,3582,2328,5910,18688,22937,41625,4592,5636,10227,1.73,10.7,39.4,0.68
,,高速道路計（一般国道の自動車専用道路を除く）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,51.7,13321,7018,20339,689,363,1052,16326,12592,28918,844,651,1495,1.42,10.9,34.5,0.48
,,,山地部,166,14797,11519,26316,2456,1912,4368,19239,29615,48854,3194,4916,8110,1.86,10.7,43.8,0.73
,,,合計,217.7,14446,10450,24896,3145,2275,5420,18547,25572,44119,4038,5567,9605,1.77,10.7,42,0.66
,,一般国道（直轄）,DID(商業地域),7.1,17513,4739,22252,124,34,158,23872,8000,31872,169,57,226,1.43,10.3,21.3,1.18
,,,DID(商業地域を除く),30.6,24882,4542,29424,761,139,900,32959,7394,40353,1009,226,1235,1.37,9.5,15.4,0.99
,,,その他市街部,24.3,19557,4289,23846,475,104,579,26362,6879,33241,641,167,808,1.39,10.3,18,0.84
,,,平地部,106.4,17260,5014,22274,1836,534,2370,23207,8100,31307,2469,862,3331,1.41,10.6,22.5,0.86
,,,山地部,60.3,10927,2992,13919,659,180,839,14449,5046,19495,871,304,1176,1.4,10.4,21.5,0.95
,,,合計,228.7,16862,4332,21194,3856,991,4847,22559,7067,29626,5159,1616,6775,1.4,10.3,20.4,0.9
,,一般国道（その他）,DID(商業地域),13.7,10598,929,11527,145,13,158,13496,1530,15026,185,21,206,1.3,9.8,8.1,0.8
,,,DID(商業地域を除く),23.6,11640,908,12548,275,21,296,14909,1767,16675,352,42,394,1.33,11.7,7.2,1.33
,,,その他市街部,120.3,9406,936,10342,1132,113,1244,11955,1517,13471,1438,182,1621,1.3,10.7,9.1,0.97
,,,平地部,215.4,7831,1092,8923,1687,235,1922,9953,1586,11539,2144,342,2485,1.29,11.2,12.2,0.83
,,,山地部,198.3,3442,387,3830,683,77,759,4228,564,4792,838,112,950,1.25,11.4,10.1,0.61
,,,合計,571.3,6863,803,7666,3921,459,4380,8677,1223,9900,4957,699,5656,1.29,11.1,10.5,0.83
,,一般国道計,DID(商業地域),20.8,12958,2230,15188,270,46,316,17038,3739,20777,354,78,432,1.37,10.1,14.7,0.96
,,,DID(商業地域を除く),54.2,19116,2960,22076,1036,160,1197,25099,4944,30043,1360,268,1628,1.36,10.1,13.4,1.06
,,,その他市街部,144.6,11112,1500,12611,1607,217,1824,14376,2418,16794,2079,350,2428,1.33,10.6,11.9,0.92
,,,平地部,321.8,10949,2389,13338,3523,769,4292,14336,3739,18075,4613,1203,5817,1.36,10.9,17.9,0.85
,,,山地部,258.6,5187,995,6182,1341,257,1599,6611,1609,8221,1710,416,2126,1.33,10.9,16.1,0.75
,,,合計,800,9721,1812,11533,7777,1450,9227,12645,2894,15539,10116,2315,12431,1.35,10.7,15.7,0.87
,,主要地方道（都道府県道）,DID(商業地域),16.9,6606,671,7277,112,11,123,8463,1093,9556,143,18,161,1.31,10.1,9.2,0.74
,,,DID(商業地域を除く),65.4,7433,441,7873,486,29,515,9296,819,10115,608,54,662,1.28,10.7,5.6,0.93
,,,その他市街部,93,7048,662,7710,655,62,717,8819,986,9804,820,92,912,1.27,11.7,8.6,0.77
,,,平地部,382.6,5059,504,5563,1935,193,2128,6282,749,7031,2404,286,2690,1.26,11.9,9.1,0.68
,,,山地部,432.8,2197,192,2389,951,83,1034,2684,289,2973,1162,125,1287,1.24,12,8,0.38
,,,合計,990.7,4178,381,4559,4139,378,4517,5185,580,5765,5136,575,5711,1.26,11.7,8.4,0.6
,,主要地方道（指定市道）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,主要地方道計,DID(商業地域),16.9,6606,671,7277,112,11,123,8463,1093,9556,143,18,161,1.31,10.1,9.2,0.74
,,,DID(商業地域を除く),65.4,7433,441,7873,486,29,515,9296,819,10115,608,54,662,1.28,10.7,5.6,0.93
,,,その他市街部,93,7048,662,7710,655,62,717,8819,986,9804,820,92,912,1.27,11.7,8.6,0.77
,,,平地部,382.6,5059,504,5563,1935,193,2128,6282,749,7031,2404,286,2690,1.26,11.9,9.1,0.68
,,,山地部,432.8,2197,192,2389,951,83,1034,2684,289,2973,1162,125,1287,1.24,12,8,0.38
,,,合計,990.7,4178,381,4559,4139,378,4517,5185,580,5765,5136,575,5711,1.26,11.7,8.4,0.6
,,一般都道府県道,DID(商業地域),54.2,9953,904,10857,539,49,588,12689,1489,14178,688,81,768,1.31,10.3,8.3,0.94
,,,DID(商業地域を除く),95,9017,663,9680,857,63,920,11362,1060,12423,1079,101,1180,1.28,10.4,6.8,1.06
,,,その他市街部,182.3,6371,471,6841,1161,86,1247,7949,811,8760,1449,148,1597,1.28,11.4,6.9,0.82
,,,平地部,546.1,3917,383,4300,2139,209,2348,4815,586,5401,2629,320,2949,1.26,13.2,8.9,0.54
,,,山地部,394.6,1134,118,1253,448,47,494,1375,169,1545,543,67,610,1.23,13.9,9.4,0.26
,,,合計,1272.2,4044,357,4400,5144,454,5598,5021,563,5584,6388,716,7104,1.27,12.1,8.1,0.61
,,地方道計,DID(商業地域),71.1,9158,849,10006,651,60,711,11685,1395,13080,831,99,930,1.31,10.2,8.5,0.9
,,,DID(商業地域を除く),160.4,8371,572,8943,1343,92,1434,10520,962,11482,1687,154,1842,1.28,10.5,6.4,1.01
,,,その他市街部,275.3,6600,535,7135,1817,147,1964,8242,870,9113,2269,240,2509,1.28,11.5,7.5,0.8
,,,平地部,928.7,4387,433,4820,4075,402,4477,5419,653,6072,5033,606,5639,1.26,12.6,9,0.6
,,,山地部,827.4,1690,157,1847,1398,130,1528,2060,232,2292,1704,192,1896,1.24,12.6,8.5,0.33
,,,合計,2262.9,4103,367,4470,9284,831,10115,5093,571,5663,11525,1291,12816,1.27,11.9,8.2,0.6
,,一般道路計,DID(商業地域),91.9,10018,1161,11179,921,107,1027,12896,1925,14822,1185,177,1362,1.33,10.2,10.4,0.92
,,,DID(商業地域を除く),214.6,11085,1175,12260,2379,252,2631,14202,1968,16170,3048,422,3470,1.32,10.3,9.6,1.03
,,,その他市街部,419.9,8153,867,9021,3424,364,3788,10355,1403,11758,4348,589,4937,1.3,11.1,9.6,0.86
,,,平地部,1250.5,6076,936,7012,7598,1171,8769,7714,1447,9161,9646,1810,11456,1.31,11.7,13.4,0.7
,,,山地部,1086,2523,356,2879,2740,387,3127,3144,560,3704,3414,608,4022,1.29,11.7,12.4,0.46
,,,合計,3062.9,5570,745,6315,17061,2281,19342,7066,1177,8243,21641,3606,25247,1.31,11.3,11.8,0.71
,,合計,DID(商業地域),91.9,10018,1161,11179,921,107,1027,12896,1925,14822,1185,177,1362,1.33,10.2,10.4,0.92
,,,DID(商業地域を除く),214.6,11085,1175,12260,2379,252,2631,14202,1968,16170,3048,422,3470,1.32,10.3,9.6,1.03
,,,その他市街部,419.9,8153,867,9021,3424,364,3788,10355,1403,11758,4348,589,4937,1.3,11.1,9.6,0.86
,,,平地部,1302.2,6363,1178,7541,8287,1534,9820,8056,1890,9945,10490,2461,12951,1.32,11.7,15.6,0.67
,,,山地部,1252,4150,1836,5987,5196,2299,7495,5278,4412,9690,6608,5524,12132,1.62,11.1,30.7,0.59
,,,合計,3280.6,6159,1389,7548,20206,4556,24761,7827,2796,10624,25679,9173,34852,1.41,11.2,18.4,0.7
,,指定市の一般市道,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,静岡市,高速自動車国道,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),14,14619,8544,23163,205,120,324,18038,14913,32951,253,209,461,1.42,9.3,36.9,0.44
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,27,14258,9047,23305,385,244,629,18061,21615,39675,488,584,1071,1.7,10.3,38.8,0.48
,,,山地部,46.2,10455,8048,18504,483,372,855,13568,21686,35254,627,1002,1629,1.91,10.8,43.5,0.68
,,,合計,87.2,12301,8437,20738,1073,736,1808,15677,20577,36253,1367,1794,3161,1.75,10.4,40.7,0.55
,,一般国道の自動車専用道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,高規格幹線道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),14,14619,8544,23163,205,120,324,18038,14913,32951,253,209,461,1.42,9.3,36.9,0.44
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,27,14258,9047,23305,385,244,629,18061,21615,39675,488,584,1071,1.7,10.3,38.8,0.48
,,,山地部,46.2,10455,8048,18504,483,372,855,13568,21686,35254,627,1002,1629,1.91,10.8,43.5,0.68
,,,合計,87.2,12301,8437,20738,1073,736,1808,15677,20577,36253,1367,1794,3161,1.75,10.4,40.7,0.55
,,都市高速道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,高速道路計,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),14,14619,8544,23163,205,120,324,18038,14913,32951,253,209,461,1.42,9.3,36.9,0.44
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,27,14258,9047,23305,385,244,629,18061,21615,39675,488,584,1071,1.7,10.3,38.8,0.48
,,,山地部,46.2,10455,8048,18504,483,372,855,13568,21686,35254,627,1002,1629,1.91,10.8,43.5,0.68
,,,合計,87.2,12301,8437,20738,1073,736,1808,15677,20577,36253,1367,1794,3161,1.75,10.4,40.7,0.55
,,高速道路計（一般国道の自動車専用道路を除く）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),14,14619,8544,23163,205,120,324,18038,14913,32951,253,209,461,1.42,9.3,36.9,0.44
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,27,14258,9047,23305,385,244,629,18061,21615,39675,488,584,1071,1.7,10.3,38.8,0.48
,,,山地部,46.2,10455,8048,18504,483,372,855,13568,21686,35254,627,1002,1629,1.91,10.8,43.5,0.68
,,,合計,87.2,12301,8437,20738,1073,736,1808,15677,20577,36253,1367,1794,3161,1.75,10.4,40.7,0.55
,,一般国道（直轄）,DID(商業地域),20.8,17556,1492,19048,365,31,396,22383,1896,24279,466,39,505,1.27,9.7,7.8,1.03
,,,DID(商業地域を除く),42.8,22357,6749,29106,957,289,1246,30452,10853,41304,1303,464,1768,1.42,10.9,23.2,1.13
,,,その他市街部,21.4,19768,5878,25646,423,126,549,26716,9326,36042,572,200,771,1.41,11.3,22.9,1.05
,,,平地部,1.3,26038,8094,34132,34,11,44,35987,13761,49748,47,18,65,1.46,11.2,23.7,0.67
,,,山地部,3.8,2467,859,3326,9,3,13,2994,1210,4205,11,5,16,1.26,12.8,25.8,0.7
,,,合計,90.1,19848,5100,24948,1788,459,2248,26624,8058,34681,2399,726,3125,1.39,10.8,20.4,1.08
,,一般国道（その他）,DID(商業地域),4.3,11240,746,11986,48,3,52,14334,1450,15783,62,6,68,1.32,10.4,6.2,0.69
,,,DID(商業地域を除く),12.8,15954,2221,18174,204,28,233,20719,3358,24077,265,43,308,1.32,11,12.2,1
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,28.3,8557,1333,9889,242,38,280,11181,1725,12906,316,49,365,1.31,11.7,13.5,0.63
,,,山地部,10,627,28,655,6,-,7,723,42,765,7,-,8,1.17,11.9,4.2,0.23
,,,合計,55.4,9043,1257,10299,501,70,571,11742,1777,13519,650,98,749,1.31,11.3,12.2,0.73
,,一般国道計,DID(商業地域),25.1,16474,1364,17839,414,34,448,21004,1820,22824,527,46,573,1.28,9.7,7.6,0.97
,,,DID(商業地域を除く),55.6,20883,5707,26589,1161,317,1478,28211,9127,37338,1569,507,2076,1.4,10.9,21.5,1.11
,,,その他市街部,21.4,19768,5878,25646,423,126,549,26716,9326,36042,572,200,771,1.41,11.3,22.9,1.05
,,,平地部,29.6,9325,1629,10954,276,48,324,12271,2254,14524,363,67,430,1.33,11.6,14.9,0.64
,,,山地部,13.8,1134,256,1390,16,4,19,1348,363,1712,19,5,24,1.23,12.5,18.4,0.41
,,,合計,145.5,15734,3636,19370,2289,529,2818,20957,5666,26624,3049,824,3874,1.37,10.9,18.8,0.98
,,主要地方道（都道府県道）,DID(商業地域),15.4,12186,889,13076,188,14,201,15741,1678,17419,242,26,268,1.33,9.4,6.8,0.74
,,,DID(商業地域を除く),15.6,11771,879,12650,184,14,197,15070,1724,16794,235,27,262,1.33,10.7,6.9,0.88
,,,その他市街部,2.1,10127,820,10947,21,2,23,12993,1113,14106,27,2,30,1.29,9.6,7.5,0.67
,,,平地部,36.1,6374,818,7192,230,30,260,7973,1153,9126,288,42,329,1.27,10.9,11.4,0.81
,,,山地部,171,955,101,1057,163,17,181,1131,133,1263,193,23,216,1.2,12.6,9.6,0.34
,,,合計,240.2,3272,316,3589,786,76,862,4105,497,4602,986,119,1105,1.28,10.8,8.8,0.62
,,主要地方道（指定市道）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,主要地方道計,DID(商業地域),15.4,12186,889,13076,188,14,201,15741,1678,17419,242,26,268,1.33,9.4,6.8,0.74
,,,DID(商業地域を除く),15.6,11771,879,12650,184,14,197,15070,1724,16794,235,27,262,1.33,10.7,6.9,0.88
,,,その他市街部,2.1,10127,820,10947,21,2,23,12993,1113,14106,27,2,30,1.29,9.6,7.5,0.67
,,,平地部,36.1,6374,818,7192,230,30,260,7973,1153,9126,288,42,329,1.27,10.9,11.4,0.81
,,,山地部,171,955,101,1057,163,17,181,1131,133,1263,193,23,216,1.2,12.6,9.6,0.34
,,,合計,240.2,3272,316,3589,786,76,862,4105,497,4602,986,119,1105,1.28,10.8,8.8,0.62
,,一般都道府県道,DID(商業地域),22.5,13807,649,14456,311,15,325,17729,1782,19511,399,40,439,1.35,9.9,4.5,0.8
,,,DID(商業地域を除く),41.4,8557,720,9277,354,30,384,10856,1213,12069,449,50,500,1.3,10.3,7.8,0.85
,,,その他市街部,0.7,8730,709,9439,6,-,7,11139,1363,12503,8,1,9,1.32,11.3,7.5,0.8
,,,平地部,25.2,3440,363,3804,87,9,96,4154,519,4673,105,13,118,1.23,12.8,9.5,0.55
,,,山地部,73.1,907,102,1009,66,7,74,1082,141,1223,79,10,89,1.21,12.3,10.1,0.41
,,,合計,162.9,5058,378,5436,824,62,886,6384,704,7088,1040,115,1155,1.3,10.6,7,0.73
,,地方道計,DID(商業地域),37.9,13148,747,13895,498,28,527,16921,1740,18661,641,66,707,1.34,9.7,5.4,0.78
,,,DID(商業地域を除く),57,9436,764,10200,538,44,581,12009,1353,13362,685,77,762,1.31,10.5,7.5,0.86
,,,その他市街部,2.8,9778,792,10570,27,2,30,12530,1175,13705,35,3,38,1.3,10,7.5,0.69
,,,平地部,61.3,5168,631,5799,317,39,355,6403,892,7296,393,55,447,1.26,11.4,10.9,0.72
,,,山地部,244.1,941,102,1042,230,25,254,1116,135,1251,272,33,305,1.2,12.5,9.7,0.36
,,,合計,403.1,3994,341,4335,1610,138,1748,5026,581,5606,2026,234,2260,1.29,10.7,7.9,0.67
,,一般道路計,DID(商業地域),63,14474,993,15466,912,63,974,18548,1772,20320,1169,112,1280,1.31,9.7,6.4,0.86
,,,DID(商業地域を除く),112.6,15088,3205,18293,1699,361,2060,20009,5192,25201,2253,585,2838,1.38,10.8,17.5,1.03
,,,その他市街部,24.2,18612,5290,23902,450,128,578,25075,8383,33457,607,203,810,1.4,11.2,22.1,1.03
,,,平地部,90.9,6522,956,7478,593,87,680,8314,1336,9649,756,121,877,1.29,11.5,12.8,0.68
,,,山地部,257.9,951,110,1061,245,28,274,1129,147,1276,291,38,329,1.2,12.5,10.4,0.36
,,,合計,548.6,7108,1215,8323,3899,667,4566,9251,1929,11181,5075,1058,6134,1.34,10.8,14.6,0.84
,,合計,DID(商業地域),63,14474,993,15466,912,63,974,18548,1772,20320,1169,112,1280,1.31,9.7,6.4,0.86
,,,DID(商業地域を除く),126.6,15036,3795,18831,1904,480,2384,19791,6267,26058,2506,793,3299,1.38,10.6,20.2,0.87
,,,その他市街部,24.2,18612,5290,23902,450,128,578,25075,8383,33457,607,203,810,1.4,11.2,22.1,1.03
,,,平地部,117.9,8293,2809,11102,978,331,1309,10546,5980,16526,1243,705,1948,1.49,10.9,25.3,0.57
,,,山地部,304.1,2395,1316,3711,728,400,1129,3018,3420,6438,918,1040,1958,1.73,11.2,35.5,0.56
,,,合計,635.8,7820,2206,10026,4972,1402,6374,10132,4487,14619,6442,2853,9295,1.46,10.7,22,0.73
,,指定市の一般市道,DID(商業地域),12.3,14455,876,15331,178,11,189,18735,2183,20917,230,27,257,1.36,9.6,5.7,0.78
,,,DID(商業地域を除く),27.7,10062,629,10691,279,17,296,12853,1258,14111,356,35,391,1.32,9.8,5.9,0.8
