交通量推定不能区間,都道府県,道路種別,沿道状況,延長（ｋｍ）,１２時間平均交通量（台／１２ｈ）／小型車,１２時間平均交通量（台／１２ｈ）／大型車,１２時間平均交通量（台／１２ｈ）／合計,１２時間走行台キロ（千台キロ）／小型車,１２時間走行台キロ（千台キロ）／大型車,１２時間走行台キロ（千台キロ）／合計,２４時間平均交通量（台／日）／小型車,２４時間平均交通量（台／日）／大型車,２４時間平均交通量（台／日）／合計,２４時間走行台キロ（千台キロ）／小型車,２４時間走行台キロ（千台キロ）／大型車,２４時間走行台キロ（千台キロ）／合計,昼夜率,１２時間ピーク比率（％）,１２時間大型車混入率（％）,混雑度
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,2.3,9489,797,10286,22,2,24,12026,1377,13403,28,3,31,1.3,9.8,7.7,0.56
,,,合計,114.1,16046,2942,18988,1831,336,2167,21487,4194,25681,2452,479,2930,1.35,9.4,15.5,0.91
,,主要地方道（指定市道）,DID(商業地域),92.5,13532,2060,15592,1252,191,1442,17983,2941,20924,1663,272,1935,1.34,9.5,13.2,0.68
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,1.8,4600,268,4868,8,-,9,5674,460,6134,10,1,11,1.26,10.2,5.5,0.89
,,,合計,94.3,13362,2026,15387,1260,191,1451,17748,2893,20642,1674,273,1946,1.34,9.5,13.2,0.68
,,主要地方道計,DID(商業地域),186.1,15127,2431,17558,2815,452,3267,20186,3508,23693,3757,653,4409,1.35,9.4,13.8,0.78
,,,DID(商業地域を除く),18.2,13493,3960,17453,246,72,318,18184,5199,23383,331,95,426,1.34,9.5,22.7,1.13
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,4.1,7343,565,7908,30,2,32,9237,974,10212,38,4,42,1.29,9.9,7.1,0.62
,,,合計,208.4,14831,2527,17359,3091,527,3618,19795,3605,23401,4125,751,4877,1.35,9.4,14.6,0.8
,,一般都道府県道,DID(商業地域),50,10927,1345,12272,546,67,614,14626,2010,16636,731,101,832,1.36,9.4,11,0.63
,,,DID(商業地域を除く),4.5,6828,1158,7986,31,5,36,8707,1520,10227,39,7,46,1.28,9.2,14.5,0.74
,,,その他市街部,0.1,3347,143,3490,-,-,-,4102,165,4267,-,-,-,1.22,10.3,4.1,0.45
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
